component,current_path,disposition,canonical_destination,dependencies,migration_timing,deletion_eligible,governing_kfl,related_adr,validation
Intelligence Engine,packages/intelligence-engine,REPLACE,(no destination),types,Phase 3,Yes,None,ADR-021,None
Platform Services,packages/platform-services,KEEP,packages/platform-services,types,N/A,No,KEMS-003 §5,—,Build
Instrumentation,packages/instrumentation,KEEP,packages/instrumentation,types,N/A,No,—,—,Typecheck
Domain Events,packages/domain-events,KEEP,packages/domain-events,types,N/A,No,KEMS-003 §5,ADR-013,Event tests
AI Layer,packages/ai-layer,KEEP,packages/ai-layer,types,N/A,No,—,—,Build
SDK,packages/sdk,KEEP,packages/sdk,types,N/A,No,KEMS-003 §5,—,Build
CLI,packages/cli,KEEP,packages/cli,types,N/A,No,—,—,Build
KPE Generator,packages/kpe-generator,RETIRE,(archived),types,Phase 3,After archive,None,—,None
Telemetry,packages/telemetry,KEEP,packages/telemetry,types,N/A,No,—,—,Build
UI Library,packages/ui,RETIRE,packages/ui (rebuild),none,Phase 5,No,KEMS-003 §5,—,None
Operational Twins,packages/operational-twins,CONSOLIDATE,packages/platform-services,types,Phase 4,After consolidation,None,ADR-012,Build
Canonical Migrations,database/migrations/,KEEP,database/migrations/,—,N/A,No,KEMS-005,ADR-011,db reset
Supabase Deploy Migrations,supabase/migrations/,KEEP,supabase/migrations/,database/migrations/,N/A,After convergence,KEMS-005,—,db reset
Phase 8 Grants (056),supabase/migrations/056_phase8_public_read_grants.sql,QUARANTINE,supabase/migrations/,—,Phase 3,After consolidation,—,ADR-018,db reset
Phase 8 RLS/Grants (058),supabase/migrations/058_phase8_rls_and_evidence_grants.sql,QUARANTINE,supabase/migrations/,—,Phase 3,After consolidation,—,ADR-018,db reset
Sponsor Portfolio (059),supabase/migrations/059_sponsor_portfolio.sql,POSTPONE,supabase/migrations/,—,Post-MVP,Post-MVP,—,—,db reset
Exchange API routes,apps/api/src/app/api/exchange/*,QUARANTINE,(marketplace isolation),api,Phase 3,Post-MVP,None,ADR-018,None
Marketplace API routes,apps/api/src/app/api/v1/marketplace/*,QUARANTINE,(marketplace isolation),api,Phase 3,Post-MVP,None,ADR-018,None
Exchange deals API,apps/api/src/app/api/v1/exchange/*,QUARANTINE,(marketplace isolation),api,Phase 3,Post-MVP,None,ADR-019,None
Marketplace UI,apps/web/src/app/(marketplace)/*,QUARANTINE,(marketplace isolation),web,Phase 3,Post-MVP,None,—,None
Continuity Claims API,apps/api/src/app/api/v1/continuity/claims/*,QUARANTINE,(map to evidence-core),api,Phase 2,After migration,KEMS-001,ADR-011,Continuity tests
Continuity Passport API,apps/api/src/app/api/v1/continuity/passport/*,QUARANTINE,(map to evidence-core),api,Phase 2,After migration,KEMS-001,ADR-011,Continuity tests
Continuity Claim Service,apps/api/src/lib/continuity-claim-service.ts,QUARANTINE,packages/evidence-core,api,Phase 2,After migration,KEMS-001,ADR-011,Continuity tests
Legacy Adapter,packages/published-view/src/legacy-adapter.ts,QUARANTINE,packages/published-view,published-view,Phase 2,After migration,KEMS-007,—,Published-view tests
Continuity Migrations (042-044),database/migrations/042-044,KEEP,database/migrations/,—,N/A,After data migration,—,—,db reset
Review Workflow (060),database/migrations/060_review_workflow.sql,KEEP,database/migrations/,—,N/A,No,KEMS-001 §4,ADR-011,Vertical slice
Passport Publication (061),database/migrations/061_passport_publication.sql,KEEP,database/migrations/,—,N/A,No,KEMS-001 §7,ADR-011,Vertical slice
